"","baseMean","lgFC_PMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Srrt",312.246673441921,-0.843118045402201,0.181198789136064,-4.65300043903217,3.27139551168534e-06,3.46984251337259e-05
"Emc10",327.776353208295,-0.802802228894502,0.172547318786511,-4.6526496878679,3.27696693489668e-06,3.47106760442324e-05
"Prnp",33.5264076374444,1.21064054831119,0.260204159976615,4.65265639265719,3.27686034900655e-06,3.47106760442324e-05
"G430095P16Rik",9.72266589902218,-1.68212541513927,0.361774814161426,-4.64964765178123,3.32502575756378e-06,3.51960133893233e-05
"Plvap",3.38353424402289,-3.22528329021472,0.694289409527257,-4.64544503481742,3.39344118019114e-06,3.58960308959789e-05
"Mtor",129.641016043123,0.633323512514146,0.136397632459383,4.64321484980862,3.43029309970675e-06,3.62614507291799e-05
"Igsf8",90.0710017503827,-0.700414977553562,0.15088256353777,-4.64212007756766,3.44852341684589e-06,3.64296637025541e-05
"Inf2",146.750687810732,0.750274600211517,0.161630533581392,4.64191129972173,3.45201054976472e-06,3.64420106324725e-05
"Npepps",681.927007175513,0.585777091185767,0.126227485243441,4.64064613230662,3.47321457371899e-06,3.66412482444891e-05
"Dhx58",301.103189086997,0.874316496791316,0.188422350370976,4.64019525852382,3.48080129428178e-06,3.66966569717071e-05
"Ndufs8",354.86261868861,-0.591094920873599,0.127459273341658,-4.63751993383137,3.52614612479082e-06,3.714979285227e-05
"Bcl2",47.1462658325832,-0.893991284460188,0.192842609849934,-4.63585970525847,3.55457003232585e-06,3.74241703537375e-05
"Kmt2e",259.673011105293,0.680244585873102,0.146782302320912,4.63437740870063,3.58013317757217e-06,3.76680812705869e-05
"Rps3a3",25.4411694091389,-1.73226483499618,0.373977025371012,-4.63200869967254,3.621349326515e-06,3.80762475341065e-05
"Ccdc184",5.29444172044287,4.21546613421382,0.91013423973618,4.63169711693931,3.62680468441235e-06,3.81081168678327e-05
"Grk6",286.851792746138,-0.80675324262006,0.174239314529776,-4.63014472248851,3.65410246828064e-06,3.83548188289095e-05
"Mrpl52",639.484852181724,-0.427374970639766,0.0923039227243307,-4.63008459473752,3.65516372579086e-06,3.83548188289095e-05
"Gls",91.1740959495502,0.750140155510927,0.162136475966875,4.62659713699577,3.71722567077445e-06,3.89800335683146e-05
