"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Zfp706",431.182614079795,-0.645346973977542,0.109625693426262,-5.88682227503193,3.93691668865613e-09,5.7937996362474e-08
"Msra",126.667785646534,1.09943758809087,0.186790859147417,5.88592821463059,3.95826103508806e-09,5.81478113919068e-08
"Zap70",93.3205662019228,-1.20448770320514,0.204634007698303,-5.88605831822901,3.95514801947526e-09,5.81478113919068e-08
"Smpdl3a",94.532679971921,-1.27065975966759,0.215895044275599,-5.88554389440057,3.96747067818708e-09,5.8178933296132e-08
"Znfx1",261.950794467931,-1.03556454576904,0.175949527019745,-5.88557732043707,3.96666884724801e-09,5.8178933296132e-08
"Tex264",131.861438585301,0.764519032490293,0.129961914855767,5.88263902804727,4.03775913084168e-09,5.91567764089117e-08
"Cct7",928.554335624976,0.470910337449641,0.0800621349588429,5.8818108921492,4.05801839531724e-09,5.94005565109372e-08
"Gadd45b",804.375631654614,0.499609428338453,0.0849602531658899,5.88050776358841,4.09009821940585e-09,5.98167751178526e-08
"Itgae",47.2079817340906,-1.65777564908932,0.281929760413742,-5.88010164892303,4.10014611544908e-09,5.99103273449723e-08
"Serf1",40.4190071838442,1.33754903284435,0.227487527339075,5.87965875971171,4.11113125624216e-09,6.00173957150157e-08
"Zup1",154.731777184652,-1.22633044466031,0.208592831459552,-5.87906322609226,4.12594765663587e-09,6.01801556424338e-08
"Fxr2",248.434804584811,0.933590774855469,0.158833975773984,5.87777753661435,4.15811201121228e-09,6.05954351616184e-08
"Gm45223",15.0759080019416,-2.90523005172154,0.494858059511707,-5.87083507256248,4.33605465215891e-09,6.31324940437227e-08
"Npc2",1482.01679941193,-0.970484910162604,0.16538266834239,-5.86811737825766,4.40771180911347e-09,6.41189211664388e-08
"Rrp15",163.51949497667,0.770124027301241,0.131299266316488,5.8654099821465,4.48024280352925e-09,6.51163012959358e-08
"Calhm2",57.3714344800824,-1.2386703263668,0.211299074576154,-5.86216635757377,4.56866956615215e-09,6.63427423991068e-08
"Ly6a",2319.83513640159,-2.56279371348041,0.437636323556345,-5.85598949523772,4.74178191926315e-09,6.87956671204147e-08
