"","baseMean","lgFC_PcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Emp3",870.798882460286,-0.737395950921951,0.113994219473368,-6.46871353941086,9.88407671264565e-11,2.53638671424824e-09
"Hars1",296.698200462823,0.583604720224171,0.0902457169783577,6.46684119495807,1.00072718970334e-10,2.56390455747918e-09
"Hmmr",57.430730610343,1.80254243273483,0.278786427981098,6.46567498205846,1.00847628977992e-10,2.57964380876187e-09
"Mcpt8",614.515097622985,2.04853089463838,0.316880663937708,6.46467622600373,1.01515930160473e-10,2.59261033719846e-09
"Ppp1r12b",26.6351955677912,-1.78795026593172,0.276595889582378,-6.46412449813077,1.0188696424189e-10,2.59795586282813e-09
"E230029C05Rik",10.8357040018977,-3.36526057169546,0.5208328696208,-6.46130605033739,1.03803137160086e-10,2.642620594833e-09
"Ints8",51.377583258833,1.33473901221227,0.20696541559878,6.4490920299446,1.12522223452298e-10,2.86005854040779e-09
"Arhgef3",220.077285559373,-0.809094614602104,0.125572105043293,-6.44326711193664,1.16928637458623e-10,2.96736434776512e-09
"Tex2",80.3487175832801,1.74529080165991,0.270905696176017,6.44242932612953,1.17576119818638e-10,2.97908957218707e-09
"Kit",84.6016523425186,1.1648730489499,0.180836719209477,6.44157366956287,1.18241030793378e-10,2.9912187695509e-09
"Slc7a5",231.648462232209,1.42709042197027,0.22162870822135,6.43910454301333,1.20180404965047e-10,3.03550003987187e-09
"Mad2l1",89.082643886934,1.48747377005534,0.231365982331418,6.4290945240369,1.28366289101611e-10,3.23716808183404e-09
"Pip4k2a",275.596720719836,-0.914078735766518,0.142386122801563,-6.41971786141286,1.36527140110603e-10,3.43757363438358e-09
"Aldh1a1",11.3658872601237,-5.83082739152305,0.908531865603123,-6.41785677781626,1.38206182888025e-10,3.46443365287140e-09
"Hspa1a",105.112879196549,-3.23360470291794,0.503847949729647,-6.41781851975981,1.38240909579841e-10,3.46443365287140e-09
"Zdhhc16",96.9443787357977,0.999183686386499,0.1556805174721,6.41816781323048,1.37924173457666e-10,3.46443365287140e-09
"Rps3",9612.77811824167,-0.695694807413034,0.10845329944145,-6.41469472110078,1.41105330153831e-10,3.53071031712016e-09
"Cyb5r3",227.949157388659,-0.698527531425508,0.108958964573431,-6.4109229943604,1.44641246414787e-10,3.61355673780271e-09
"1600010M07Rik",10.9247322933802,-3.38274395580881,0.527989407011056,-6.40684057462156,1.48566022629854e-10,3.7058456328043e-09
