"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Mndal",366.269724388118,4.24522801227092,0.410231510189344,10.3483713630665,4.25664978383156e-25,2.09778805651003e-23
"Il6",97.8748984350354,5.48700604440392,0.531072310243719,10.331937739111,5.05293620594757e-25,2.47943861014787e-23
"Pilra",538.61479871444,2.38662966749711,0.23124025305795,10.3209957433277,5.66327452461676e-25,2.76694899726427e-23
"Gm12250",88.2414385668496,5.15026414234558,0.499744799349583,10.3057883724826,6.63454348828536e-25,3.22757727209075e-23
"Mthfd2",362.206691800965,2.31603486173188,0.226237604550269,10.2371790327955,1.35118649349897e-24,6.54517047171401e-23
"Gsdmd",453.185805997371,1.82754230789994,0.178943658278527,10.21294817308,1.73511140250952e-24,8.36914372231721e-23
"1110038F14Rik",202.278422812033,2.4569566199687,0.241154013236746,10.1883298021529,2.23572116670011e-24,1.07380929765024e-22
"Enpp4",72.3171332890638,4.66107666774248,0.45810643525314,10.1746587889927,2.57300166871236e-24,1.23058961666053e-22
"Xkr8",78.607449927425,4.2618467458692,0.41895432598224,10.1725808317584,2.62850175690817e-24,1.25185157204009e-22
"Cdkn1a",4815.70252910058,2.80263891415866,0.275716527051305,10.1649289729997,2.84329183132293e-24,1.3484817116337e-22
"Lpin1",59.9520664677875,-4.14399225071813,0.407889921452501,-10.1595848114151,3.00352734287619e-24,1.4185409346459e-22
"Olr1",418.240601557046,4.1174097432158,0.406002776700717,10.1413339501639,3.62120454593573e-24,1.70316819619011e-22
"Nrp2",2073.81531377871,2.32525501006561,0.23046537979587,10.0893896173263,6.15510516420382e-24,2.88298004282026e-22
"Ddx24",368.474273738045,1.79512760773909,0.177967299522489,10.0868396191642,6.3170640553089e-24,2.94666341839203e-22
"Ifi44",83.2948314422552,5.76172094716496,0.571347103497285,10.0844493861906,6.47270522727688e-24,3.00688990783539e-22
"Zc3h12c",76.034035418028,3.92765115455871,0.389880596757672,10.0739846692087,7.20005769717901e-24,3.33112873459282e-22
"Rab3il1",44.2752230833226,-3.83188823335038,0.380513500270627,-10.0703082298659,7.47434746979636e-24,3.44397270610332e-22
"Ier3",400.730841446548,4.03885240423284,0.401677626347677,10.0549598466731,8.73570394847315e-24,4.00887466623252e-22
"Irf1",1040.36572552915,3.3951063561672,0.337985681913234,10.0451188847662,9.65312103931697e-24,4.41202124922007e-22
"Tlk2",166.192774477313,2.38741702405415,0.238192089724699,10.0230743464803,1.2068921265645e-23,5.49402500185083e-22
"Il18bp",157.315742970465,2.67337100066221,0.266995006845158,10.0128127197997,1.33890728397737e-23,6.07060562555341e-22
