"","baseMean","lgFC_LcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Cdca7",57.3094814096306,1.07669841455713,0.270945737774013,3.97385256325814,7.07193488965473e-05,0.000354336929055517
"Dennd4a",190.085995541746,0.503320439681288,0.126701690237793,3.97248401924758,7.11270093608409e-05,0.00035627295720206
"Trim30c",26.1185109661999,-2.05776745666268,0.518062311323611,-3.9720462417064,7.12578826760021e-05,0.000356821824338439
"6030468B19Rik",2.62213211792759,-4.50405831624722,1.13415613591228,-3.97128593994184,7.14857159089254e-05,0.000357855742472078
"Lancl1",53.1018957603419,-0.879595237685662,0.221542101537434,-3.97032993540073,7.17731717674581e-05,0.000359187423226929
"Trpm1",4.12584566641193,-4.71223169690485,1.18706026212999,-3.9696651023003,7.19737210632258e-05,0.000360083516397238
"Mif4gd",416.631326624239,0.661778945914435,0.166804893625198,3.96738327954226,7.26660802361564e-05,0.000363438858016955
"Cit",70.7274689417323,0.817675408592644,0.206127757319678,3.9668379417942,7.28324788393774e-05,0.000364162394196887
"Tmtc2",11.3127141010026,2.415468189471,0.60897743973155,3.96643296102363,7.29562835253559e-05,0.000364672592621521
"Tjp2",35.0483893927192,0.952662902738706,0.240220600903756,3.96578353044913,7.3155233382031e-05,0.000365557988462848
"Man2b1",649.436101922536,-0.477679665873359,0.120540481399218,-3.96281531588822,7.40710812457213e-05,0.000370024140212302
"Stx12",68.4909153715898,0.783636262303406,0.197756081613789,3.96264052113361,7.41253511661481e-05,0.000370184875943014
"Adissp",112.060476915812,-0.838957649211405,0.211733923155288,-3.96232042890975,7.4224830247607e-05,0.000370571224910207
"Idnk",201.111043749204,-0.494130956387619,0.124714346418287,-3.96210196002892,7.42927990467227e-05,0.000370800073883777
"Lzts2",12.8386406939019,1.47777417663414,0.372986452090245,3.96200496922228,7.43229931394712e-05,0.000370840306745634
"Sos2",74.5522029274581,0.823537954386505,0.207868356292977,3.96182453680339,7.43791942202835e-05,0.000371010240893376
"Gm37248",11.0359433793245,-2.30588456338882,0.582077448105501,-3.96147380540825,7.4488555030238e-05,0.000371445160574892
"Ppp2r5c",365.275083288604,-0.401489767192233,0.101372379007457,-3.96054399751928,7.47792128477863e-05,0.000372783609421202
"Gm19412",10.7501891045884,2.30539270771829,0.582122425510898,3.96032278896483,7.48485203783866e-05,0.000372907213481971
"Gsto1",307.973438396275,0.442906593011903,0.111834121817969,3.96038870616624,7.48278613065781e-05,0.000372907213481971
