"","baseMean","lgFC_MoDC_Treatment_48H_Wash_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Cdkl1",1.22048693817492,-4.65246945807834,1.98576719581942,-2.34290780302598,0.0191341107045495,0.0404284421522056
"Stag2",43.6133977255638,-0.632591875786148,0.270009855239761,-2.34284735727303,0.0191372107515959,0.0404296159595941
"Gm3226",3.2694798737861,-2.48283632434628,1.06000163778029,-2.34229480017173,0.0191655697916877,0.040484144964122
"Gm9706",1.67259621120687,-3.86350737724161,1.64998575405501,-2.34153983920567,0.0192043762403346,0.0405607249877278
"Neurl4",39.2504468402047,-0.548560887857745,0.234304527010013,-2.34123042716244,0.0192203004465677,0.0405889624927585
"6430590A07Rik",3.47277407085866,-2.57860052091085,1.10145042031958,-2.34109540778303,0.0192272529727082,0.0405934514036037
"Mprip",155.48960490736,-0.328863170103466,0.140474386590482,-2.34108991742519,0.0192275357331186,0.0405934514036037
"Trpm5",0.785458020479801,-4.94959431000747,2.11441551309575,-2.34088062604151,0.0192383172157948,0.0406108173564186
"Polr2a",374.691155567364,-0.422977942813407,0.180725050800182,-2.34044998709709,0.0192605178679842,0.0406522806063233
"Ear1",1.80119932871506,-4.04207096548462,1.72716331586996,-2.34029459075713,0.0192685344833752,0.0406637992304886
"Mmp11",5.30379948772049,-1.59506744399371,0.68161997814956,-2.34011251889057,0.0192779309506316,0.0406782264109676
"Lrrc42",60.9057755790678,-0.500223909963992,0.213785301422481,-2.33984238689756,0.0192918794526944,0.0407022537012165
"Ptch1",29.7539321051708,0.648155141781159,0.277041367742403,2.33956086436818,0.0193064254999633,0.0407275351525381
"Hrc",2.33117926132766,3.1462087464052,1.34504430717967,2.33911160369301,0.0193296582974381,0.0407711324423197
"Cpt2",37.6786367588789,0.500330081340041,0.213941140305664,2.33863426466366,0.0193543698878363,0.0408178368924649
"Mtx2",46.2194114497066,0.540960999550472,0.231343390590817,2.3383464648328,0.0193692824696926,0.0408438658475044
"Furin",326.875677037644,0.454972958756072,0.194605271613447,2.33792720507493,0.0193910247208541,0.0408842876578623
"Dnaaf3",4.61472616750302,1.6823372468995,0.719670159254642,2.33765041563192,0.0194053903355725,0.0409091478097269
"Gm55815",0.699982438042905,-4.13638204348714,1.77048738962991,-2.33629568203351,0.0194758364145995,0.0410522107709699
"Gm9790",5.22965502430162,-2.10071413729072,0.899184785845434,-2.33624297292306,0.0194785817953629,0.0410525515514686
"Mmachc",12.2978695783252,0.939805431549959,0.402303381919275,2.33606147446838,0.0194880378211415,0.0410670335464347
"Rabl2",10.6028726249273,0.978611687966076,0.419008920312433,2.33553903157092,0.0195152793601487,0.0411189860434164
"Prox2os",1.90442968354836,-2.64922680840158,1.13467394142656,-2.3347912661772,0.0195543276819166,0.0411957985332766
"Fam240a",0.669461276994672,-4.55051001715297,1.94904658168351,-2.33473640903052,0.0195571950083301,0.0411963769703509
"Gpr83",0.759236840162902,-4.70974591666199,2.01732907449988,-2.33464434543461,0.0195620079028202,0.0412010529649935
"Bcl9",45.4048535890203,-0.627028776104557,0.268638282808772,-2.33410059634316,0.0195904550874533,0.0412554991232002
"Plau",3.83502028407812,2.60746321447549,1.1173935618666,2.33352267585981,0.0196207296130641,0.0413137785345845
"Gm15672",2.17650691972207,-1.97587256323136,0.846823838610428,-2.3332746117228,0.0196337370513938,0.0413356894142833
"AI467606",137.070484633943,-0.411763277543948,0.176508037244909,-2.33283018706178,0.0196570596429114,0.0413738270852058
"Stam",38.1237745066125,0.562113515101314,0.240952724767822,2.33287884850838,0.019654504800322,0.0413738270852058
"Pitpnm1",258.146074836859,-0.360148879719825,0.154401786149466,-2.33254348088427,0.0196721182940037,0.0414000380891954
"Abhd1",6.14507153335975,-1.28652516479721,0.552032492039145,-2.33052435019709,0.0197784545762162,0.0416183107881736
"Btbd3",2.84352034976776,1.92083428261361,0.82501577728907,2.32823945370512,0.0198993922827464,0.0418672462897984
"Cd46",1.1937757175147,-4.01180412206097,1.72416824861887,-2.32680547578497,0.0199756208459421,0.0420220627063648
"Trap1",123.389639751858,0.486462332468168,0.209102396433302,2.32643116848895,0.0199955604791945,0.0420584406213822
"Inpp1",21.1265467947906,-0.866468914427934,0.372461252010012,-2.32633303397864,0.0200007910525509,0.0420638741275951
"9330151L19Rik",13.9918021919626,-0.770131887757016,0.331065719702858,-2.32622057169868,0.0200067867651331,0.0420709151550026
"Gm38292",1.11478771457523,-3.9698662395516,1.70705246849967,-2.32556779173913,0.0200416194775538,0.0421330103041614
"Gm48062",5.48859679846788,-1.58867954530917,0.683122522107658,-2.32561435744729,0.0200391329526403,0.0421330103041614
"Mtfmt",32.0509552886585,-0.541251913559371,0.232750409990075,-2.32546062360299,0.0200473430859866,0.04213946742866
"Tm9sf2",143.725417251521,0.37002182540053,0.159169702059634,2.3247001195108,0.0200880008932857,0.0422193447345789
"Lyplal1",3.20087563054227,1.99992791770181,0.860382747453591,2.32446306439877,0.0201006889549274,0.0422404241244334
"Tnks2",69.3828056948493,-0.558476731608007,0.24028711057884,-2.32420594788736,0.0201144586827315,0.0422581824685867
"Znrd2",65.8986878076135,-0.544095654127404,0.234094850760663,-2.32425297848043,0.0201119393712176,0.0422581824685867
"Dad1",459.285207686365,0.5763650422128,0.247997876738848,2.32407248720011,0.0201216093384136,0.0422595089229292
"Plcxd1",1.61185659971315,-3.09760134704288,1.33282521819813,-2.32408668799843,0.0201208483720592,0.0422595089229292
