"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Mafa",5.37610749964963,-5.67868821838408,1.25603254347451,-4.52113143714839,6.15099796389443e-06,2.98839988968504e-05
"B3galnt1",31.46853518932,-2.29905007233637,0.508582455714255,-4.52050605856541,6.16919794155662e-06,2.99626681671762e-05
"Chid1",47.5270782665433,-1.16469666264409,0.257713682996329,-4.5193435175915,6.20316762144433e-06,3.01178519030763e-05
"Rhd",18.9968877136197,3.8294839377341,0.84759979035285,4.51803313464709,6.2416718442603e-06,3.02949438294585e-05
"Atg10",20.320922799792,-2.05181507139499,0.454165871649416,-4.51776586369935,6.24955335001451e-06,3.032333671943e-05
"G6pc3",71.6911695116873,-1.35685941103985,0.30039123502037,-4.51697404202837,6.27295917661443e-06,3.04270119307671e-05
"Terf2",71.1681186294849,1.07364241442894,0.237766758605336,4.51552782536374,6.31592524072443e-06,3.06254659577037e-05
"Mlkl",183.022120858778,1.42451207571118,0.315545234555767,4.51444648725766,6.34823485689821e-06,3.07721355112718e-05
"N4bp2l1",143.322511557611,1.10553758468827,0.244943372136546,4.51344151525758,6.37840444733675e-06,3.09083397326302e-05
"Rpia",75.5299509681127,1.37074799803741,0.303735577487937,4.51296489326099,6.39276070964704e-06,3.09678525126524e-05
"Tomm70a",11.0170040179595,2.76353045067765,0.612400211004159,4.51262165005832,6.40311863236232e-06,3.10079641752134e-05
"Dck",281.230308049188,1.66076621623444,0.368090918956402,4.51183696936339,6.4268579970677e-06,3.11128302323177e-05
"Reps1",73.9780653087286,1.22616119215723,0.271814134129091,4.51102808206031,6.45141783096954e-06,3.12215989387874e-05
"Arl2bp",180.516491882026,0.795271843330381,0.176298372070689,4.51094263656336,6.45401740653163e-06,3.12240550380825e-05
"Senp7",37.3450180380091,1.49604859250179,0.331660086187672,4.51078877081169,6.45870111276556e-06,3.12365891471244e-05
"Kif3c",46.0885390677876,-1.39071462616644,0.308363369721393,-4.50998647285167,6.48317596756125e-06,3.13448012037097e-05
"Glod4",61.2273535051998,-1.24137462391386,0.275258060118478,-4.50985748929402,6.48711900258852e-06,3.13537082621871e-05
"Ndufa7",532.058357999506,-0.614928887211895,0.136366861147795,-4.50937186671352,6.50198510452332e-06,3.14153861071578e-05
"Ier3ip1",440.42707253599,-0.671180001169267,0.148969267816596,-4.50549305240321,6.62190058230834e-06,3.19844227155185e-05
"Ankrd17",228.840610959168,0.83856069710102,0.186124208980229,4.50538219447904,6.62535871675348e-06,3.19907728397107e-05
"Gm26782",38.5324170808868,-1.23607198930255,0.274503582475674,-4.50293572912508,6.7021156953642e-06,3.23460168334436e-05
"Selenof",869.701417265313,-1.19172311952335,0.264656844331782,-4.50289930166843,6.70326499603625e-06,3.23460168334436e-05
