"","baseMean","lgFC_MoDC_Naive_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Ampd3",318.473499516808,1.26380549397126,0.348455332122408,3.6268794805737,0.000286867105072501,0.00121157821123048
"Rpf1",139.062573224404,-0.693352823408387,0.19117230742002,-3.62684759506009,0.000286902516909881,0.00121157821123048
"Spata13",47.5512064378784,-2.01749064739891,0.556257006146404,-3.62690379645828,0.000286840102766466,0.00121157821123048
"Nipbl",97.5674339709767,-0.82747291457211,0.228158110236422,-3.62675214006053,0.000287008553075283,0.00121167560004578
"Cytip",23.0775435985474,-1.91588291574133,0.528335954992469,-3.62625881815793,0.000287557145056712,0.00121364074834196
"Thap4",73.330061829333,0.957698240735994,0.26412494860145,3.62592873489247,0.000287924758104956,0.00121484115648849
"Zswim6",78.8416293845394,0.813636891691229,0.224406705681987,3.62572450416993,0.000288152429868381,0.0012154505873391
"Gm11510",7.6339687597674,-3.6807927829064,1.01544054157452,-3.62482354427078,0.000289158814093496,0.00121934339076157
"Rps5",5024.15647724546,-0.636412503961104,0.175580613433444,-3.62461715741951,0.000289389814036422,0.00121996520045435
"Slc5a3",12.0560568553456,1.87665386520571,0.517773915574449,3.6244658310445,0.000289559296988567,0.00122032739218587
"Gpr4",9.78318494659378,-4.57412366064844,1.2622075862278,-3.62390759694177,0.00029018531417701,0.00122261285139264
"BC106179",4.61058336313408,-5.11486675319175,1.4116755322966,-3.62325947866404,0.000290913720128153,0.00122532825354238
"Atp5mg",54.9873149889005,0.942670699767954,0.260205512216151,3.62279296752516,0.000291439081538939,0.00122718711295073
"Napg",130.488592006004,0.656699700694641,0.181283497286458,3.62250127851928,0.000291768018480922,0.00122821803801583
"Neurl4",39.2504468402047,-1.14911589758833,0.317255586446888,-3.62205094781115,0.000292276538268606,0.00122894163211531
"Scimp",23.9830429346081,-2.92762887956859,0.808271730966884,-3.62208495906006,0.000292238103321847,0.00122894163211531
"Snhg5",22.2217583755609,-1.55761143569131,0.43001481033518,-3.62222741695156,0.000292077167981875,0.00122894163211531
"Them6",23.07065092256,-1.63840581925461,0.452341632026106,-3.62205400355468,0.000292273084883978,0.00122894163211531
"Opa1",79.6248719424575,0.721936965763136,0.199322283681312,3.62195812946539,0.00029238145319567,0.00122902888918146
"Ap3s1",61.9021504081427,1.06948561880522,0.295380554527146,3.62070421499912,0.000293802246274094,0.00123393563484055
"Nedd4",58.1176912005432,-1.11932415361358,0.309141528428569,-3.62074988534648,0.000293750384552602,0.00123393563484055
"Rcn3",10.9469618360844,-2.64081625766472,0.729346150314257,-3.6207996114422,0.000293693927009943,0.00123393563484055
"Gm38227",5.96054848990348,-4.05787833112024,1.1210200509546,-3.61980887644673,0.000294820696658242,0.00123785699634856
"Adi1",64.2002442027526,1.02780254196725,0.283948048164793,3.61968518047625,0.000294961660915412,0.00123809288138769
"Stx11",9.09696237293409,-4.80141940345209,1.32672770641689,-3.61899384495357,0.000295750671850444,0.00124104800604369
"Gm37274",16.4215227283679,-1.76918608976762,0.488957242751637,-3.61828383973089,0.000296563047593279,0.00124409944958479
"Tonsl",11.7571024757746,-2.60402977799486,0.719999672093433,-3.61670967213572,0.000298371642784029,0.00125132713945295
"Prpf39",21.7525913749224,-1.64198406135802,0.454029583949204,-3.61646932139498,0.000298648694291816,0.00125212945240982
"Srms",5.10225558066738,-4.75170850974385,1.3141884452457,-3.61569798222923,0.000299539442611237,0.00125550358221926
"Arhgap24",70.9804741691906,1.20818746869994,0.334174169465866,3.61544242222873,0.000299835113576824,0.0012563822564024
"U2af2",257.077668159702,-0.886497529660485,0.245233147873647,-3.61491722202759,0.000300443603904711,0.00125857083987966
"Fabp3",129.765281778639,2.67568940742265,0.740359675088186,3.61403990175984,0.000301462636262669,0.00126247745263658
"Rnf141",52.0944161933021,1.21102699744103,0.335232502819282,3.61249875014022,0.000303260568864745,0.00126964280020982
"Fbxw9",27.3839790809755,1.36882096737131,0.379081943546365,3.6108841127219,0.000305154999163489,0.00127720792570491
"Znrf1",393.080069412493,-0.61895670689614,0.171427974334308,-3.61059336610425,0.000305497303086002,0.00127827424554868
"Ddx50",160.807410114256,-0.629021687024059,0.174234785188744,-3.61019578462853,0.000305965968632762,0.00127950201602068
"Isyna1",176.55617366529,0.77716729433873,0.215265816264429,3.61026802966278,0.000305880756799539,0.00127950201602068
"Atxn10",147.389558250002,0.611119502278307,0.169282317703949,3.61006105402615,0.000306124940552338,0.00127980031688686
"Ubxn2a",193.938973258972,-0.724489810240395,0.200833560666815,-3.60741405886007,0.000309263924480353,0.00129255325964127
"Prrc2a",299.244804095037,-1.31309521379884,0.364017278390383,-3.60723320498715,0.000309479489250783,0.00129308411488675
"Tomm40l",43.7824637563741,1.07489560511099,0.298004804536431,3.60697407809607,0.000309788595012182,0.00129400539272394
"Exosc10",115.755779274863,-0.914670192462056,0.253595344578795,-3.60680987256002,0.000309984621146895,0.00129431109371302
"Inf2",178.886266266753,0.799356147236572,0.221626943443928,3.60676429866845,0.000310039047168947,0.00129431109371302
"Abhd8",79.4949178967056,-1.11374929124528,0.308950059861245,-3.60494926508668,0.000312213915179745,0.00130301794894822
"Faim",171.415829003725,0.56238963553365,0.156009418267088,3.60484412915917,0.000312340331159277,0.00130317310169112
"Pex11a",22.7612283551894,1.74528091454831,0.484186422262609,3.6045639330252,0.000312677474514419,0.00130420712948702
"Inpp4a",44.670361738373,1.29065803286096,0.358263482662771,3.60253862120756,0.000315124562509328,0.00131383604270075
"Ntpcr",55.6217896358968,0.985855128693169,0.273663896286949,3.60243036099821,0.000315255871644417,0.00131383604270075
"Ralgds",559.29606263911,-1.24724279492013,0.346215748664164,-3.60250161852104,0.000315169437419211,0.00131383604270075
"Abhd3",5.60308538768908,4.16330068202461,1.15610269041302,3.60115127881698,0.000316811156883249,0.0013198893972806
"Vps8",55.6661831253401,0.985409477659338,0.273642207881722,3.60108729310234,0.00031688914790562,0.0013198893972806
"Lsm4",457.097369166722,-0.47992281403527,0.133277042446594,-3.60094135662999,0.000317067094461815,0.00132025400069173
"Fbxo6",195.529452011537,0.72135967289197,0.200384981064671,3.5998689575401,0.000318377588416399,0.00132533293148366
