"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Tcirg1",681.008513346438,1.12656588593146,0.230447089077659,4.88860974742802,1.01550579567623e-06,1.90725652726164e-05
"Itgam",1645.26124438818,-0.861051230485661,0.176152932594368,-4.88808910419008,1.01819447246821e-06,1.90938667256901e-05
"Ifitm3",873.498655961793,2.15306153770995,0.441185186619688,4.88017640439487,1.05990991916041e-06,1.98458438064747e-05
"Gng12",608.897655437263,0.950055134075862,0.194910462764933,4.87431572732785,1.09186248102753e-06,2.04130089108999e-05
"Neurl3",236.06801253361,-0.856910260170629,0.175922281898696,-4.87095921518388,1.11057764869868e-06,2.07313453783675e-05
"Gpr35",13.7088910177056,-2.17216157620838,0.446356433357654,-4.86642829334529,1.13633125337678e-06,2.11786140346396e-05
"Ptges",95.5741401878684,2.54882340675884,0.523787465857763,4.86614051098921,1.13798626254678e-06,2.11786140346396e-05
"Cd22",224.881174379069,-0.842612815563964,0.173210610076911,-4.86467206131204,1.1464673551022e-06,2.13041732567629e-05
"Gpsm3",189.396111914546,-1.12793560323684,0.232303336615802,-4.85544297240248,1.20117920296364e-06,2.22871361782513e-05
"Rgs14",110.332202315914,-1.01675100034766,0.209627217255525,-4.85028143606129,1.23286418216695e-06,2.28405290340222e-05
"Gga2",88.219793899352,-1.09527663067158,0.225968544965731,-4.84703139031003,1.25322604493551e-06,2.31827944426851e-05
"Rnf115",227.890483433022,0.722513149427207,0.149156599588127,4.84399048665842,1.27257028035455e-06,2.35052342159322e-05
"Osgin2",49.1090569269827,1.36725379894965,0.282474048554647,4.84028110173506,1.29655599963693e-06,2.39123083236343e-05
"Zfp692",34.3092204125868,-1.17092073164838,0.241934433398682,-4.8398267051091,1.29952395613248e-06,2.39311135729765e-05
"Pold4",165.207827255609,-1.07154930696128,0.22141714489264,-4.83950467106261,1.30163132315455e-06,2.3934038236987e-05
"Naa20",76.2366895125504,1.27098035811516,0.263091607318828,4.8309422374501,1.35888426875921e-06,2.4949440169162e-05
"Ubr4",249.350376076995,1.11367343130565,0.2308309796751,4.82462723536146,1.40265352365649e-06,2.5714616762795e-05
