"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Gbp3",1322.05043644724,5.37896890217344,0.341840089569583,15.7353366860692,8.65949014153539e-56,4.07384220692991e-53
"Hck",660.50968747158,2.77385656890053,0.176814576960583,15.6879405339917,1.82893647208009e-55,8.31739342952955e-53
"Mcoln2",207.421639287508,3.10425108519045,0.198185607535905,15.6633527721132,2.69317210717721e-55,1.18525635671673e-52
"Sp100",757.758149030009,3.45885783643484,0.221428951160512,15.6206215054848,5.26895256786268e-55,2.24638499635471e-52
"Rigi",636.361014520053,4.76728299286941,0.306279411528694,15.5651435043416,1.25588144940401e-54,5.19211836794512e-52
"AA467197",844.50759611743,4.4721439632523,0.289441020881669,15.4509680404998,7.43188487858416e-54,2.98215309995658e-51
"Helz2",1062.22029487748,4.82504142764996,0.313225614245147,15.404364165038,1.52986482672628e-53,5.96341309457903e-51
"Gbp5",391.18978446457,5.77763167625628,0.376824250079825,15.3324306358531,4.64283070819928e-53,1.75950387088786e-50
"Tap1",1327.04145770674,3.87731013301022,0.252922782086763,15.3300153549637,4.81872651048463e-53,1.77680772385248e-50
"Parp14",1591.67840617079,4.68448044798698,0.305729827263778,15.3222879491745,5.42729618455773e-53,1.94854215384003e-50
"Tnf",4388.52096096886,6.50015961511857,0.425150522131721,15.2890782834431,9.04208066820601e-53,3.16310529631627e-50
"Ifit1",1325.35480141791,6.15875564275123,0.406992184282504,15.1323683367744,9.90650236412465e-52,3.37886029384382e-49
"Cmpk2",2223.75915706943,6.72388820940714,0.444969636208639,15.110892209855,1.37268458162439e-51,4.56769164563452e-49
"Etnk1",618.17740413516,2.98602765622942,0.20011036187375,14.9219042345909,2.37400485720619e-50,7.7115591111581e-48
"Usb1",300.799308608596,2.82864068981612,0.190873448006852,14.8194561336503,1.09668779679958e-49,3.47956083993878e-47
"Fblim1",279.362366538003,-2.63292674049516,0.178472256255049,-14.7525828145106,2.96111838911893e-49,9.18148595062491e-47
"Nfkbie",476.541953873518,3.85492952784216,0.262666292051526,14.6761485751889,9.16503784950917e-49,2.77863580846341e-46
