"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Arpc2",0.64,1.06,1.18,0.96,0.05,-0.05,-1.12,-0.78,-1.97,-0.46,0.49
"Hapstr1",0.93,0.85,0.74,1.24,0.27,-0.38,-1.13,-1.42,-1.56,0.62,-0.16
"Ncl",1.42,0.8,0.73,1.14,-0.35,-0.64,-0.9,-1.49,-1.32,0.4,0.22
"Dld",1.32,0.72,1.28,0.79,0.3,-0.28,-0.58,-1.04,-1.73,0.14,-0.93
"Lcp1",1.46,0.84,1.16,0.7,0.04,-0.14,-0.69,-1.19,-1.82,-0.07,-0.29
"Nipsnap3b",1.11,1.05,1.29,0.73,-0.05,-0.45,-0.86,-0.99,-1.81,0.36,-0.38
"Bclaf1",1.3,0.91,1.07,1.06,0.03,-0.48,-0.71,-1.1,-1.79,-0.1,-0.18
"Cct6a",1.13,0.76,1.17,1.08,0.01,-0.31,-0.9,-0.81,-2.01,0.02,-0.14
"Sfr1",1.6,0.62,1.33,0.97,0.01,-0.41,-1.08,-0.73,-1.45,-0.36,-0.49
"Pak1ip1",1.8,0.54,1.07,0.83,-0.12,-0.43,-0.91,-0.73,-1.74,-0.2,-0.13
"Cct2",1.49,0.7,1.18,1.03,-0.23,-0.26,-1.15,-0.68,-1.69,-0.2,-0.19
"Btaf1",1.31,0.75,1.08,1.4,0.01,-0.26,-0.86,-1.09,-1.49,-0.33,-0.54
"Psma6",1.59,0.86,0.55,1.07,0.18,0.08,-0.95,-0.93,-1.8,-0.24,-0.41
"Hipk3",1.6,0.33,0.74,0.95,-0.82,-0.31,-0.15,-1.22,-1.72,0.78,-0.18
"Sp2",0.77,0.75,1.1,1.15,-0.28,-0.91,-0.06,-1.4,-1.8,0.38,0.29
"Khsrp",0.93,0.8,0.44,1.05,-0.86,-0.62,-0.14,-0.59,-2.23,0.64,0.59
"Eya3",0.71,1,0.88,0.87,-1.02,0.09,0.05,0.03,-2.43,-0.11,-0.06
"Cs",0.36,1.19,1,0.88,-0.65,0.02,-0.24,0.04,-2.49,-0.03,-0.09
"Flii",0.44,1.1,1.18,0.91,-0.51,-0.61,-0.3,0.06,-2.37,0.14,-0.04
"Ppp6r3",0.95,0.83,0.96,0.73,-0.66,-0.5,-0.43,-0.05,-2.42,0.44,0.16
"Mgat1",0.18,1.27,1.29,0.71,-0.52,-0.16,-0.21,0.02,-2.36,-0.46,0.26
"Rnf4",0.39,1.17,1.26,1.08,-0.04,-0.23,-0.51,-0.36,-2.27,-0.4,-0.09
"Pik3ap1",0.13,1.27,1.36,0.85,-0.25,-0.12,-0.45,-0.41,-2.3,-0.2,0.11
"Vps26a",0.04,1.23,1.07,1.1,-0.85,-0.16,-0.24,-0.32,-2.26,0.1,0.29
"Vim",0.33,1.22,1.19,1.09,-0.82,0.07,-0.17,-0.44,-2.16,-0.44,0.12
"Sdcbp",0.45,0.87,1.2,1.28,-0.68,0.11,-0.23,-0.44,-2.27,-0.27,-0.02
"Acbd3",0.52,1.05,1.07,1.42,-0.69,-0.42,-0.17,-0.27,-2.15,-0.04,-0.32
"Sgpl1",0.6,1.07,0.9,1.35,-0.59,-0.53,-0.37,-0.26,-2.24,0.04,0.04
"S100a10",0.35,0.92,1.29,1.25,-1.02,-0.22,-0.54,0.04,-2.09,-0.11,0.13
"Dennd1a",0.53,1.29,1.3,0.91,-0.89,-0.16,-0.35,-0.15,-2.11,-0.32,-0.04
"Smcr8",0.61,1.16,1.38,1.1,-0.64,-0.46,-0.59,-0.21,-2.02,-0.24,-0.1
"Clip1",0.39,1.62,0.79,1.2,-0.37,-0.22,0.15,-0.95,-1.96,-0.43,-0.22
"Ufd1",0.98,1.07,0.71,1.44,-0.37,-0.47,-0.35,-0.85,-2.01,-0.24,0.1
"Ptpn9",0.52,1.17,0.7,1.61,-0.4,-0.19,-0.63,-0.32,-2.07,-0.53,0.14
"Efhd2",1.04,0.89,1.04,1.06,-1.34,-0.03,-0.59,-0.36,-1.88,-0.1,0.28
"Iqgap1",0.94,1.16,0.7,1.15,-1.16,-0.37,-0.26,-0.32,-2.07,0.13,0.1
"Mat2a",1,1.3,1.11,1.32,-1.01,-0.56,-0.75,-0.66,-1.39,-0.19,-0.16
"Smu1",1.21,1.05,1.04,1.26,-1.02,-0.58,-0.79,-0.58,-1.56,-0.02,-0.01
"Lilrb4b",1.01,1.17,1.24,1.24,-0.71,-0.46,-0.93,-0.82,-1.51,-0.1,-0.11
"Cmtm6",0.96,1.08,1.32,1.23,-0.85,-0.47,-0.58,-0.7,-1.67,0.01,-0.32
"Psmb4",1.19,1.18,1.23,1.08,-0.89,-0.44,-0.64,-0.67,-1.6,-0.18,-0.26
"Cdyl",1.31,1.18,1.05,0.94,-0.62,-0.25,-0.95,-0.57,-1.74,0.08,-0.44
"Cstb",1.24,1.16,0.76,1.04,-0.55,-0.17,-0.86,-0.63,-1.99,-0.07,0.07
"Cdk6",1.19,1.13,1.11,0.91,-0.98,-0.09,-0.67,-0.31,-1.88,-0.42,0.01
"Ubap2l",1.09,1.15,1.3,0.88,-0.76,-0.46,-0.43,-0.37,-1.92,-0.5,0.01
"Gars",0.77,1.32,1.13,1.05,-0.35,-0.31,-0.94,-0.66,-1.9,-0.3,0.18
"Pdcd6ip",0.91,1.31,1.12,1.14,-0.72,-0.17,-0.77,-0.56,-1.79,-0.51,0.05
"Fut8",1.29,0.91,0.62,0.86,-1.08,0.3,-0.28,-0.28,-2.01,-0.82,0.49
"Med8",1.51,1.41,0.79,0.56,-0.6,-0.55,-0.49,-0.12,-1.92,-0.23,-0.36
"Nktr",1.56,1.07,0.45,0.91,-0.47,-0.64,0.01,-0.29,-2.12,-0.13,-0.36
"Crebbp",1.28,1.2,0.62,0.87,-0.45,-0.9,-0.16,-0.47,-1.94,-0.65,0.6
"Psmd1",1.33,0.88,0.74,0.92,-0.2,-0.25,-0.7,-0.38,-2.24,-0.46,0.36
"Trim28",0.73,0.97,0.95,1.14,-0.39,-0.57,-0.37,-0.09,-2.37,-0.21,0.19
"Nup62",1.01,1.05,0.81,1.09,-0.56,-0.45,-0.41,-0.37,-2.27,-0.08,0.2
"Etv6",0.96,1.24,1.18,0.78,-0.31,-0.46,-0.32,-0.17,-2.19,-0.54,-0.16
"Hnrnpab",1.12,1.15,1.07,0.93,-0.28,-0.52,-0.57,-0.47,-2.11,-0.31,-0.01
"Plxna1",-0.06,1.19,1.07,1.11,-1.18,0.52,0.06,0.23,-2.01,-0.56,-0.36
"Herc1",0.27,0.9,1.2,1.15,-0.8,-0.13,0.26,0.33,-2.26,-0.49,-0.43
"Sh3bp2",-0.03,1.21,1.46,1.12,-1.55,-0.31,0.02,0.36,-1.45,-0.22,-0.6
"Sdc3",0.19,1.26,1.28,1.09,-1.33,-0.21,0.04,0.11,-1.87,-0.45,-0.1
"Cd180",0.02,1.19,1.43,1.11,-1.28,-0.17,-0.29,0.13,-1.86,-0.27,0
"Eng",-0.05,1.1,1.7,1.03,-0.85,0.04,-0.14,0.22,-1.78,-0.45,-0.82
"Nckap1l",-0.68,1.28,1.46,1.15,-0.8,-0.1,0.14,0.01,-1.9,-0.18,-0.38
"Dennd2a",0.3,1.3,1.04,1.1,-1.25,-0.39,0,0.76,-1.26,-0.2,-1.42
"Cst7",0.37,1.29,1.4,1.13,-0.54,-0.1,0.11,0.04,-1.24,-1.02,-1.43
"Zfp710",0.16,1.08,1.28,0.82,-0.68,-0.08,0.44,0.87,-1.23,-1.11,-1.53
"Mettl3",0.98,1.32,-0.32,1.42,0.2,0.39,-0.47,-0.07,-1.86,-0.89,-0.69
"Sh3kbp1",0.83,1.3,0.22,1.21,-0.72,0.77,-0.4,0.25,-1.75,-1.2,-0.52
"Ddx28",0.89,0.53,0.86,1.23,-0.54,0.1,0.31,0.54,-2.02,-1.16,-0.75
"Mcl1",0.66,1.14,1.03,0.71,-0.45,0.32,0.27,0.31,-2.11,-1.01,-0.87
"Tmem219",1.11,1.03,1.07,0.74,-0.37,-0.1,0.21,0.12,-2.07,-1,-0.73
"Mtarc2",0.59,1.01,0.89,0.86,-0.23,0.25,-0.2,0.55,-2.39,-0.55,-0.78
"Prpsap1",0.25,1.11,0.92,1.4,0.06,-0.08,-0.18,0.17,-2.16,-0.82,-0.69
"D5Ertd579e",1.14,1.44,0.93,0.79,-0.78,-0.2,0.26,-0.16,-1.71,-0.74,-0.96
"Rtcb",0.95,1.09,1.34,0.98,-0.54,-0.14,-0.06,0.05,-1.67,-0.85,-1.15
"Dbr1",0.92,1.21,1.12,0.99,-0.39,-0.03,-0.05,-0.3,-1.95,-0.44,-1.1
"Ampd3",0.65,1.33,1.25,1.15,-0.07,-0.25,-0.32,-0.24,-1.81,-0.86,-0.83
"Raf1",0.85,1.53,1.27,0.89,-0.03,-0.33,-0.47,-0.23,-1.46,-0.93,-1.08
"Tmem184b",0.97,1.46,1.18,0.97,-0.49,-0.26,-0.37,-0.25,-1.71,-0.65,-0.85
"Lims1",1.2,1.32,1.1,0.87,-0.43,-0.16,-0.35,-0.33,-1.86,-0.81,-0.54
"Ubc",0.91,1.44,1.13,0.76,-0.44,-0.14,-0.16,0.17,-1.74,-1.19,-0.75
"Slamf7",1.02,1.16,1.35,1.12,-0.48,-0.36,-0.17,-0.19,-1.43,-1.13,-0.89
"Akna",0.93,1.31,1.24,1.04,-0.37,-0.02,-0.5,-0.14,-1.49,-1.27,-0.73
"Fbxl14",0.64,1.47,1.01,0.44,0.23,0.46,-0.01,-0.1,-1.76,-1.32,-1.06
"Bcl2l2",1.25,1.41,0.6,0.71,-0.22,0.24,0.1,-0.51,-1.98,-0.87,-0.72
"Heatr5b",1.39,1.24,0.38,0.76,-0.46,0.65,0.01,-0.35,-1.89,-0.85,-0.88
"Golgb1",1.71,0.63,0.54,0.51,-0.65,-0.22,0.01,0.22,-2.33,-0.42,0
"Ndufs4",1.4,0.76,0.53,0.51,-0.21,0.05,0,-0.3,-2.61,-0.12,-0.02
"Tax1bp1",1.52,0.39,0.82,0.73,0.2,-0.12,-0.28,-0.37,-2.44,-0.24,-0.22
"Ube2q1",1.55,0.66,0.59,0.67,0.15,0.11,-0.51,-0.39,-2.39,-0.44,-0.02
"Mak16",1.44,1.02,0.86,0.91,-0.11,-0.5,-0.22,-0.2,-2.09,-0.54,-0.58
"Ubqln1",1.14,1,0.93,1.12,0.11,-0.59,-0.24,-0.52,-2.13,-0.53,-0.29
"Jak1",1.58,0.83,0.73,1.2,-0.19,-0.26,-0.36,-0.7,-1.93,-0.53,-0.37
"Copa",1.63,0.66,0.88,0.88,-0.34,-0.09,-0.37,-0.28,-2.13,-0.66,-0.19
"Mbd2",1.17,1.13,0.9,0.83,-0.33,0.06,-0.19,-0.56,-2.25,-0.5,-0.25
"Nup88",1.4,1.08,0.74,0.82,0.21,0.12,-0.47,-0.67,-2.04,-0.71,-0.47
"Acvr1b",1.9,0.78,0.77,0.45,-0.01,0.04,-0.29,-0.23,-1.94,-0.82,-0.65
"Diaph2",1.41,0.68,0.85,0.83,0.05,0.02,-0.12,-0.31,-2.34,-0.45,-0.62
"Psma2",1.66,0.55,0.95,0.8,-0.29,0.03,-0.35,-0.29,-2.12,-0.19,-0.76
"Ufm1",1.49,1.13,0.95,0.34,-0.2,0.36,-0.72,-0.24,-2.02,-0.39,-0.7
"Sec23b",1.48,1.12,1,0.92,-0.29,-0.22,-0.65,-0.56,-1.81,-0.27,-0.72
"Bub3",1.62,0.79,0.79,0.92,-0.33,0.17,-0.63,-0.46,-2.02,-0.2,-0.66
"Sugt1",1.47,1.16,0.77,0.81,-0.31,0.1,-0.57,-0.37,-2.02,-0.31,-0.73
"Pabpc1",1.7,0.78,1.14,0.79,-0.37,0.29,-0.7,-0.99,-1.33,-1.02,-0.29
"Wnk1",1.81,0.67,1.09,0.73,-0.47,-0.19,-0.17,-1.2,-1.54,-0.68,-0.05
"Txn1",1.16,1.16,1.19,1.12,-0.42,-0.43,-0.72,-0.83,-1.71,-0.31,-0.21
"Cwc15",1.2,1.18,1.22,1.12,-0.26,-0.58,-0.94,-0.82,-1.52,-0.33,-0.28
"Lrrc59",1.26,1.27,1.04,1.17,-0.6,-0.68,-0.81,-0.61,-1.55,-0.23,-0.26
"Immt",1.43,1.16,1.12,0.95,-0.39,-0.78,-0.79,-0.59,-1.6,-0.32,-0.2
"Psmd12",1.22,1.24,0.93,1.36,-0.51,-0.5,-0.65,-0.66,-1.56,-0.62,-0.25
"Hnrnpm",1.27,1.1,1.23,1.23,-0.81,-0.49,-0.69,-0.55,-1.46,-0.42,-0.42
"Eif4e2",1.13,1.25,1.21,1.25,-0.72,-0.72,-0.69,-0.57,-1.42,-0.46,-0.27
"Macroh2a1",1.41,1.19,1.24,1.07,-0.43,-0.89,-0.79,-0.53,-1.22,-0.59,-0.46
"Utp23",1.51,1.31,1.04,0.94,-0.42,-0.83,-0.67,-0.68,-1.36,-0.58,-0.25
"Cdk7",1.23,1.47,1.09,0.97,-0.39,-0.6,-0.79,-0.6,-1.5,-0.66,-0.22
"Hp1bp3",1.04,1.5,1.39,0.82,-0.56,-0.6,-0.6,-0.62,-1.46,-0.68,-0.23
"Cpsf7",1.66,1.35,0.8,0.37,-0.29,-0.29,-0.37,-0.93,-1.73,-0.66,0.1
"Mob4",1.3,1.81,0.92,0.42,-0.65,-0.63,-0.19,-0.83,-1.41,-0.69,-0.04
"Dus3l",1.7,0.59,0.83,1.26,-1.11,-0.89,-0.47,-0.07,-1.45,-0.32,-0.07
"Pcsk7",1.64,0.96,1.13,0.9,-1.22,-0.17,-0.4,-0.17,-1.21,-0.88,-0.59
"Tulp4",2.11,0.71,0.95,0.74,-1.04,-0.43,-0.21,-0.41,-1.1,-0.67,-0.65
"Dcun1d2",1.1,1.1,0.98,1.42,-1.28,0.08,-0.44,-0.29,-1.26,-0.48,-0.94
"Exoc1",1.38,0.87,1.09,1.23,-1.25,-0.15,-0.67,-0.21,-1.48,-0.26,-0.54
"Ifi207",1.24,0.65,0.93,1.22,-1.42,0.01,0.09,-0.05,-1.72,-0.11,-0.84
"Rest",1.35,0.5,1.08,1.51,-1.28,-0.28,-0.24,-0.58,-1.23,0.09,-0.92
"Trmt1l",1.43,1.35,0.97,1.01,-1.16,-0.47,-0.05,-0.44,-0.88,-0.69,-1.07
"Slfn5",1.37,0.89,1.14,1.21,-1.19,-0.19,-0.03,-0.18,-1.18,-0.85,-0.98
"Dck",1.03,1.29,1.2,1.17,-1.32,-0.17,-0.24,-0.21,-1.1,-0.78,-0.87
"Mov10",1.17,1.3,1.22,1.18,-1.21,-0.58,-0.22,-0.39,-0.97,-0.74,-0.75
"Hivep3",0.96,1.32,1.38,1.2,-1.11,-0.34,-0.4,-0.46,-1.08,-0.68,-0.8
"Fam241a",1.01,1.31,1.39,1.23,-1.03,-0.46,-0.45,-0.63,-1.02,-0.58,-0.77
"Lrp11",1.1,1.1,1.39,1.28,-1.13,-0.36,-0.44,-0.33,-0.99,-0.8,-0.82
"Zcchc2",1.13,1.19,1.32,1.24,-1.13,-0.44,-0.53,-0.35,-1.15,-0.53,-0.76
"Mndal",1.51,0.72,1.22,1.31,-1.16,-0.31,-0.33,-0.41,-0.87,-0.61,-1.08
"Cask",1.24,0.59,1.69,1.21,-1.03,-0.53,-0.23,-0.46,-1.07,-0.62,-0.8
"Snx27",1.09,1.59,1.21,0.73,-1.07,-0.16,-0.33,-0.14,-1.26,-0.81,-0.85
"Sppl2a",0.96,1.27,1.08,1.06,-1.18,0.05,-0.09,-0.13,-1.67,-0.54,-0.82
"Ankfy1",0.85,1.29,1.23,0.94,-1.19,0.11,-0.25,-0.04,-1.65,-0.38,-0.93
"Susd6",1.39,0.95,1.08,0.9,-0.53,0.14,-0.25,-0.22,-1.86,-0.94,-0.66
"Itpripl2",1.53,0.95,0.96,0.94,-0.92,0.06,-0.38,-0.12,-1.79,-0.58,-0.65
"Fstl1",1.26,0.76,1.3,1.09,-1.17,-0.39,0.11,0.01,-1.56,-0.79,-0.61
"Ctsl",1.28,1.16,0.92,0.83,-1.18,-0.15,-0.07,-0.01,-1.87,-0.7,-0.22
"Kri1",1.09,0.85,1.11,1.49,-0.75,-0.25,-1.11,-0.03,-1.52,-0.25,-0.64
"Vps29",1.24,0.72,0.87,1.51,-0.93,0.39,-0.64,-0.65,-1.63,-0.5,-0.38
"Mpp1",1.3,0.75,1.36,1.13,-1.14,-0.3,-0.37,-0.9,-1.47,-0.05,-0.3
"Pmpcb",1.27,0.79,1.11,1.35,-0.88,0.1,-0.59,-1.05,-1.47,-0.08,-0.54
"Dync1i2",1.3,1.12,1.27,1.06,-1.05,-0.12,-0.77,-0.66,-1.37,-0.43,-0.34
"Vrk2",1.16,1.09,1.25,1.19,-1.2,-0.18,-0.81,-0.47,-1.38,-0.38,-0.27
"Mvp",1.19,1.35,1.19,0.98,-1.22,-0.51,-0.59,-0.39,-1.4,-0.3,-0.31
"Rragc",1.26,1.17,1.26,1.06,-1.07,-0.46,-0.54,-0.66,-1.42,-0.43,-0.17
"Stx3",1.33,1.02,1.31,1.26,-1.23,-0.5,-0.63,-0.51,-0.91,-0.5,-0.63
"Pcbp1",1.3,0.89,1.33,1.28,-1.32,-0.38,-0.66,-0.53,-1.05,-0.28,-0.58
"Dcakd",1.53,1.02,1.12,1.16,-1.07,-0.76,-0.71,-0.61,-1.13,-0.29,-0.26
"Nr3c1",1.73,0.94,0.98,1.07,-1.21,-0.47,-0.61,-0.78,-1.09,-0.33,-0.24
"Abcf1",0.72,1.53,0.84,1.26,-0.66,-0.8,-0.71,0.04,-1.74,-0.5,0.01
"Sf3a2",1.2,1.29,1.02,0.9,-0.54,-0.45,-0.75,0.37,-1.61,-1.07,-0.35
"Sf3b4",0.69,1.32,1.05,0.98,-0.7,-0.21,-1.18,0.5,-1.63,-0.93,0.13
"Atp6v0a2",0.95,1.96,1.06,0.44,-0.48,-0.04,-0.68,-0.72,-1.42,-0.8,-0.27
"E2f4",0.94,1.88,1.21,0.43,-0.32,-0.62,-0.39,-0.21,-1.02,-1.4,-0.5
"Creb1",1.66,1.42,1.22,0.23,-0.38,-0.27,-0.8,-0.35,-1.13,-1.05,-0.56
"Sf3a3",1.43,1.7,1.07,0.55,-0.52,-0.61,-0.58,-0.56,-0.96,-1.12,-0.4
"Tmbim6",1.35,1.47,0.63,1.2,-1.09,-0.24,-0.42,-0.57,-1.29,-0.85,-0.2
"Zscan29",1.25,1.49,0.39,1.49,-1.22,-0.34,-0.29,-0.26,-0.95,-0.81,-0.73
"Irf9",1.47,1.22,0.39,1.2,-0.67,0.1,-0.09,-0.12,-1.21,-1.49,-0.78
"Mrpl27",0.92,1.49,0.46,1.46,-0.91,0.02,-0.04,-0.25,-1.43,-1.16,-0.56
"Ifi204",1.03,1.19,1.24,1.23,-0.81,-0.07,-0.33,-0.31,-1.45,-0.84,-0.89
"Rnf114",1.17,1.25,1.27,1.18,-0.61,-0.33,-0.47,-0.39,-1.23,-0.89,-0.95
"Irgm1",1.04,1.22,1.31,1.3,-0.84,-0.27,-0.45,-0.44,-1.26,-0.78,-0.82
"Eif2ak2",1.19,1.07,1.3,1.33,-0.75,-0.36,-0.48,-0.39,-1.19,-0.84,-0.88
"Irgm2",1.37,1.02,1.21,1.28,-0.86,-0.28,-0.47,-0.42,-0.91,-1.15,-0.79
"Znfx1",1.37,1.17,1.12,1.1,-1.11,-0.16,-0.35,-0.21,-0.95,-1.1,-0.88
"Epsti1",1.29,1.29,1.19,1.09,-0.86,-0.21,-0.4,-0.43,-1.13,-0.9,-0.93
"Stat1",1.25,1.18,1.25,1.14,-0.92,-0.22,-0.42,-0.25,-1.05,-1.06,-0.9
"Stat2",1.3,1.21,1.15,1.11,-0.88,-0.2,-0.27,-0.3,-1.04,-1.07,-1.02
"Rnf213",1.24,1.2,1.22,1.22,-0.82,-0.43,-0.34,-0.3,-0.91,-0.94,-1.15
"Rigi",1.26,1.2,1.19,1.13,-0.79,-0.24,-0.3,-0.27,-0.99,-0.94,-1.25
"Parp14",1.15,1.24,1.21,1.28,-0.9,-0.27,-0.45,-0.38,-0.84,-0.94,-1.09
"Sp100",1.23,1.18,1.17,1.25,-0.81,-0.24,-0.37,-0.35,-0.83,-1.12,-1.11
"Adar",1.18,1.21,1.2,1.24,-0.83,-0.34,-0.39,-0.2,-0.88,-1.08,-1.1
"Lrrc75a",1.04,0.94,1.43,1.28,-1.03,0.09,-0.43,-0.35,-0.89,-1.11,-0.98
"Parp9",0.94,1.23,1.3,1.3,-0.8,-0.31,-0.26,-0.31,-0.94,-1.32,-0.82
"Abr",1.09,1.36,1.24,1.12,-0.99,-0.17,-0.48,-0.32,-1.04,-1.12,-0.7
"Phf11d",1.12,1.1,1.15,1.15,-0.47,-0.04,-0.3,-0.02,-1.26,-1.18,-1.26
"Adam17",1.01,1.15,1.23,1.23,-0.59,0.02,-0.37,-0.17,-1.16,-1.18,-1.17
"Xaf1",1.19,1.18,1.18,1.23,-0.42,-0.43,-0.45,-0.18,-0.99,-1.18,-1.14
"Snx20",0.96,1.43,1.21,1.13,-0.39,-0.33,-0.35,-0.25,-1.19,-1.13,-1.08
"Scarf1",1.1,1.33,1.1,0.96,-0.74,0.18,-0.4,-0.1,-1.18,-1.43,-0.82
"Ly75",1.33,1.3,0.89,0.99,-0.77,0.13,-0.21,-0.15,-1.13,-1.2,-1.18
"Tent2",0.43,1.2,1.6,1.26,-0.28,-0.05,-0.26,-0.71,-1.18,-1.26,-0.75
"Ube2a",0.81,1.19,1.48,1.2,-0.14,-0.24,-0.33,-0.6,-1.18,-1.19,-0.98
"Tmod3",1.06,0.82,1.48,1.32,-0.55,0.07,-0.51,-0.56,-1.32,-0.89,-0.93
"9530068E07Rik",0.8,1.05,1.52,1.2,-0.26,0.11,-0.62,-0.4,-1.18,-0.97,-1.25
"Nacc1",0.6,1.12,1.81,0.89,-0.93,0.23,-0.59,-0.16,-0.87,-1.2,-0.92
"Nfe2l2",0.26,1.3,1.35,1.27,-0.78,0.44,-0.18,-0.3,-1.29,-1.26,-0.82
"Spop",0.73,1.36,1.38,1.05,-0.7,0.24,-0.56,-0.33,-1.46,-0.99,-0.73
"Atg4b",1.2,1.13,0.65,1.02,0.53,-0.53,-0.09,-0.24,-1.89,-0.93,-0.86
"Sart3",1.18,1.19,0.72,1.07,0.25,-0.46,-0.36,-0.02,-1.8,-0.5,-1.27
"Tbrg1",1.6,0.84,0.85,1.02,0.15,-0.26,-0.67,-0.29,-1.8,-0.59,-0.87
"Sltm",1.39,0.79,1.08,1.12,0.33,-0.39,-0.55,-0.49,-1.73,-0.86,-0.7
"Zfand3",1.41,0.88,1.22,0.78,0.3,-0.21,-0.55,-0.29,-1.74,-1,-0.79
"Rwdd4a",1.09,1.24,1.23,0.61,0.41,-0.54,-0.54,-0.28,-1.81,-0.3,-1.09
"Plpp3",0.95,1.23,1.12,1.02,0.31,-0.39,-0.35,-0.21,-1.69,-1.02,-0.97
"Tspo",1.2,1.2,1.2,0.89,0.32,-0.69,-0.57,-0.34,-1.61,-0.83,-0.78
"Clec5a",0.69,1.4,1.15,1.19,-0.01,-0.07,-0.52,-0.62,-1.68,-0.52,-1.03
"Amn1",1.07,1.14,1.25,1.08,0.11,-0.04,-0.66,-0.67,-1.55,-0.72,-1
"Mrpl46",1.04,1.11,1.2,1.33,-0.39,-0.33,-0.49,-0.54,-1.5,-0.26,-1.18
"Snx10",0.87,1.07,1.38,1.27,-0.35,-0.03,-0.35,-0.56,-1.59,-0.71,-1
"Stxbp3",1.03,1.08,1.37,1.22,-0.35,-0.29,-0.44,-0.65,-1.63,-0.5,-0.83
"Rbm7",0.92,0.98,1.37,1.43,-0.19,-0.27,-0.48,-0.76,-1.51,-0.7,-0.78
"Katna1",0.85,1.1,1.41,1.26,-0.12,-0.67,-0.38,-0.59,-1.69,-0.61,-0.55
"Syk",0.48,1.32,1.3,1.34,-0.11,-0.51,-0.42,-0.41,-1.78,-0.66,-0.54
"Rnf14",0.63,1.18,1.34,1.29,0.06,-0.31,-0.46,-0.57,-1.77,-0.64,-0.75
"Agfg1",0.81,1.09,1.3,1.28,0.02,-0.33,-0.59,-0.52,-1.82,-0.66,-0.59
"Rdx",0.93,1.37,1.23,1.18,-0.31,-0.55,-0.62,-0.57,-1.64,-0.65,-0.36
"Tpm4",0.89,1.34,1.25,1.19,-0.24,-0.45,-0.82,-0.78,-1.62,-0.42,-0.34
"Arl8a",1.15,1.28,1.04,1.26,-0.25,-0.48,-0.78,-0.73,-1.58,-0.53,-0.38
"Bnip2",0.97,1.22,1,1.32,-0.15,-0.56,-0.9,-0.33,-1.8,-0.27,-0.52
"Kars",0.77,1.33,1.23,1.08,-0.07,-0.63,-0.83,-0.47,-1.87,-0.25,-0.3
"Eif3c",0.94,1.4,1.18,1.09,-0.05,-0.84,-0.74,-0.47,-1.65,-0.55,-0.31
"Crem",0.32,1,1.83,0.96,0.38,-0.4,-0.6,-0.36,-1.58,-1.03,-0.51
"Tgif1",0.19,1.08,1.71,1.21,0.11,-0.88,-0.32,-0.26,-1.66,-0.67,-0.52
"Ppfibp2",0.94,1.23,1.27,1.28,-0.16,-0.27,-0.59,-0.4,-1.41,-0.93,-0.94
"Bid",0.9,1.19,1.3,1.34,-0.22,-0.29,-0.64,-0.39,-1.4,-1.09,-0.69
"Ttc9c",0.9,1.32,1.25,1.23,0.04,-0.45,-0.79,-0.31,-1.24,-1.06,-0.88
"Rnaseh1",0.78,1.43,1.3,1.13,-0.08,-0.53,-0.78,-0.18,-1.42,-1,-0.65
"Crbn",0.65,0.95,1.46,1.32,0.1,-0.31,-0.6,-0.35,-1.73,-0.99,-0.51
"Cep170",0.73,0.91,1.55,1.33,0.02,-0.32,-0.5,-0.5,-1.47,-1.17,-0.58
"Pomp",0.92,1.01,1.37,1.28,0.04,-0.55,-0.83,-0.39,-1.6,-0.87,-0.38
"Slc9a1",0.9,0.82,1.5,1.23,0.21,-0.4,-0.84,-0.21,-1.55,-0.9,-0.76
"Slc3a2",0.66,1.26,1.34,1.29,0.39,-1.04,-0.82,-0.71,-1.2,-0.6,-0.57
"Lsm14a",0.65,1.51,1.31,1.2,0.15,-0.6,-0.9,-0.73,-1.17,-0.86,-0.56
"Dpf2",0.68,1.17,1.32,1.31,0.15,-0.85,-0.47,-0.04,-1.44,-0.99,-0.83
"Map3k8",0.76,1.38,1.32,1.13,0.3,-0.68,-0.48,-0.54,-1.04,-1.23,-0.91
"Irak2",0.6,1.49,1.31,1.05,0.47,-0.88,-0.54,-0.61,-1.29,-0.96,-0.64
"Tiprl",0.87,0.39,1.7,1.04,0.75,-0.43,-0.9,-0.71,-1.48,-0.86,-0.38
"Eapp",1.18,0.94,1.74,0.58,-0.04,-0.18,-0.87,-0.86,-1.53,-0.63,-0.32
"Nol7",0.82,1.27,1.53,0.84,0.22,-0.35,-1.18,-1.15,-1.2,-0.47,-0.33
"Ppp1r2",1.07,1.19,1.48,0.7,0.45,-0.31,-0.92,-1.07,-1.22,-0.51,-0.84
"Ccdc71l",0.15,1.74,1.2,1.45,-0.57,-0.45,-0.35,-0.81,-0.86,-1.11,-0.39
"Gca",0.76,1.78,0.99,1.16,-0.25,-0.44,-0.48,-1.24,-0.44,-1.02,-0.81
"Lats1",0.88,1.41,1.33,1.02,-0.2,-0.31,-0.42,-1.08,-0.6,-1.54,-0.47
"Pdcd10",1.41,0.83,0.96,1.56,-0.66,-0.04,-0.47,-1.02,-0.85,-1.08,-0.63
