"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Dda1",276.383185493799,0.346292463329246,0.113894380079668,3.04047015390063,0.00236209101499185,0.00904908125275515
"Timm17a",84.1709552940912,0.510431120812033,0.167876960761275,3.0405072768614,0.00236179984310205,0.00904908125275515
"Fam98a",54.1307505462753,0.50812298941985,0.167194821420711,3.03910722295198,0.00237280386995856,0.00908793034764503
"Gm23119",8.74311957360869,1.3692035688948,0.450549035339655,3.0389668193665,0.00237390998805458,0.00908997541099619
"Ppm1h",43.4780628884064,-0.617623283662866,0.203276973620138,-3.03833372104906,0.00237890348663508,0.00910690113064372
"Gm56171",1.43725162608442,4.28001066739531,1.40872526712032,3.03821530520596,0.00237983854639921,0.00910828595197404
"Bysl",16.6032398301771,1.00419453008145,0.33052971436334,3.03813692519509,0.00238045765196853,0.00910846115530446
"Ilkap",93.2864412012673,-0.478432135771119,0.157490170871924,-3.03785393794637,0.00238269413016035,0.00911482341580964
"Gm49733",5.46164777698324,1.71212380108983,0.563718618491787,3.03719576562961,0.00238790317735972,0.00913035325600817
"Slamf9",11.3469990643059,-1.68529487052632,0.554872712919621,-3.0372639188881,0.00238736330089674,0.00913035325600817
"Cul5",68.846852048445,0.536163692088901,0.176540137723057,3.03706397312318,0.0023889474895696,0.00913214840394424
"Abhd10",21.9777418674425,0.798730386635118,0.263018761899244,3.03678102986847,0.00239119091946683,0.00913794544147928
"Ttc33",68.4258167616693,-0.452652636570434,0.149059345502167,-3.03672765397895,0.00239161434793673,0.00913794544147928
"Flnc",1.25690407419649,-4.26364160770507,1.4041787956484,-3.03639509506783,0.00239425406889864,0.0091458317847061
"Gm42570",1.34662495857345,-3.90884582992702,1.28773933264849,-3.03543250627262,0.0024019097574938,0.00917287026858269
"Cebpa",117.695824601899,0.915670286299653,0.301758303311424,3.03444934655088,0.00240975217667309,0.00920060870723512
"Iqce",36.4596663343814,-0.709621034913823,0.233964300369014,-3.03303125218075,0.00242110525004797,0.0092395145586145
"Ska1",49.658186745076,0.556137097187186,0.183357932812536,3.03306810159,0.0024208096201454,0.0092395145586145
"Mcmdc2",5.08903223396838,-1.83883119315582,0.606388295970997,-3.03243186811733,0.00242591854070779,0.00925565990783495
"Kptn",45.5387430481852,-0.609587121536733,0.201027916889647,-3.03235058577143,0.00242657194397361,0.0092559300057404
"Elac2",98.52844239322,0.479372697411847,0.158104615854272,3.03199685108304,0.00242941738230086,0.00926455927811181
"Emg1",287.80032450184,0.398254070543236,0.131355907453696,3.03187026958514,0.00243043634428712,0.00926622083073902
"Atf6b",145.751800149128,0.485654405257007,0.16019473788778,3.0316501756582,0.00243220899860167,0.00927075440517868
"Zfp846",10.6966747296807,-1.1585658162557,0.382184223624776,-3.03143286571967,0.00243396039128468,0.0092752047820436
"2610507I01Rik",10.9076441037559,1.12078434544122,0.369760911708202,3.03110553320381,0.00243660068119707,0.00928303957366375
"Rchy1",122.501527778212,-0.435551989096359,0.1437050297766,-3.03087504851748,0.00243846136120635,0.00928790113773324
"Naip5",13.5048792401054,-1.31138489367044,0.432707584372694,-3.03064919828383,0.00244028588904873,0.00929262270357554
"Coro7",201.721203543834,-0.365472495650553,0.120630720550417,-3.02968011782542,0.00244812878133906,0.009320254480981
"Mex3d",47.2624852632432,0.52270230126582,0.172554095073659,3.02920832474414,0.00245195540582986,0.00933258637575923
"Nsd2",153.283658347998,0.375771308778675,0.124055362228945,3.02906139667858,0.0024531482288334,0.00933489003867694
"Nudt8",29.1825214267437,-0.84363690946685,0.278543859126892,-3.02873993385195,0.00245575984950272,0.00934259021289506
"Morn4",3.81092147100576,-2.41197742820396,0.796502959152887,-3.02820899845644,0.00246007883396047,0.00935678056862102
"Eif2a",24.4119924399671,-1.22604667506423,0.404911094931416,-3.02794043040954,0.00246226619267427,0.00936285854548015
"Ccdc90b",32.9518605614011,-0.650550022300283,0.214886669875625,-3.02740985598045,0.00246659270004587,0.00937482254201644
"Sec24c",211.877867955965,-0.29393976172586,0.097092516625806,-3.02741933097379,0.00246651537635296,0.00937482254201644
"Cd9",748.632487352625,0.359692585210148,0.118847420839957,3.02650728697361,0.00247396857827354,0.00940060722387749
"Ly6g5b",2.40008627146394,3.33046203364155,1.10063181739447,3.0259547116544,0.00247849422943099,0.00941335889545297
"Ubxn11",17.3497099339873,-1.00622718861528,0.332532342207628,-3.02595284998477,0.00247850948949958,0.00941335889545297
"Trim59",74.7864121062244,-0.481486677486554,0.159136237911182,-3.02562561366622,0.00248119317501628,0.00942129922836606
"2200002A13Rik",1.18288523077512,-3.94638725294351,1.30518184559601,-3.02363020621192,0.00249761525136766,0.00948138912747383
"Cdc14b",26.2950661536524,-0.697995678013107,0.230860021408108,-3.0234584305925,0.00249903359200294,0.00948450708938144
"Dcp2",101.510783339221,-0.588104576737763,0.194557450052005,-3.02278106842253,0.00250463371401806,0.00950349076059349
"H2-T24",10.4119587731523,-1.55457872510944,0.514429818290044,-3.02194520970194,0.00251156003657142,0.00952749625143509
"Gpcpd1",112.608512404573,-0.547025449129629,0.181038349659401,-3.02159984422517,0.00251442701107757,0.00953609499283585
"Rusf1",18.0103694108249,-0.983474546415178,0.325505556209093,-3.02137560374984,0.00251629009596941,0.00954088323500384
"Pknox1",193.098797636908,0.298831042511153,0.0989190528680752,3.02096546465819,0.00251970097267288,0.00955153647169029
"Gm4189",7.24863291501005,1.35238671952755,0.447772292487721,3.02025547854691,0.00252561549309374,0.00957167302928918
"Ndufa13",911.623108750387,-0.233021058632069,0.0771730390749304,-3.01946199638217,0.00253224060011742,0.00959449234773801
"Urm1",115.070897890424,0.447678201247256,0.14826951486153,3.01935432691842,0.0025331408002609,0.00959561466231401
"Stx6",23.4735821601224,0.768269908772654,0.254455893154209,3.01926553655041,0.00253388337674401,0.00959613950091348
"Gm10602",1.37296188919134,-3.77125303027299,1.24911113941969,-3.01914930646205,0.00253485573950983,0.00959753411191436
"Golga2",150.246815037505,0.349386930550435,0.115761499221934,3.01816176275155,0.0025431311549006,0.00962657247031353
"Phlda3",15.9377560620506,-0.976410692110989,0.323525843204695,-3.01802997386275,0.00254423738578013,0.00962846578082156
"H3f3a",1828.34569885229,-0.463750393232032,0.153668067471277,-3.01787092701426,0.00254557300497221,0.00963122608478054
"Fcgr3",784.949813884784,0.601694339023992,0.199383187919581,3.0177787069323,0.00254634773028527,0.0096318634264386
"Lyrm2",21.5624494900202,-0.864895887462584,0.286619347438833,-3.01757677976418,0.00254804483935847,0.00963598866053037
"Smad6",3.89693786888978,-2.14816701055421,0.711902135695003,-3.01750325338895,0.00254866305308957,0.00963603282352069
"Mthfr",71.2054055800534,0.527095948546392,0.17473224899499,3.01659225230659,0.00255633418699913,0.00966273643322751
