InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
10006	13860	IntAct, DIP	2	2	3	9010225, 15289329, 19564905
11308	13860	IntAct, DIP, Biogrid	2	2	4	9010225, 19564905, 12515821, 32325033
11308	20663	IntAct	1	1	1	11003655
11308	20662	IntAct, Biogrid	2	2	2	11003655, 32325033
18514	17268	MINT, IntAct, Biogrid	1	1	3	10373562, 20211142, 9315626
19200	22376	MINT, Biogrid	1	1	2	9488710, 14707117
14810	13385	MINT, IntAct, DIP, Biogrid	1	1	12	10862698, 16635246, 16601687, 19455133, 19240213, 19243221, 28671696, 9647694, 16554481, 15663482, 23760271, 27507650
14810	14812	MINT, IntAct, DIP, Biogrid	2	2	9	10862698, 16635246, 20141836, 19243221, 32033586, 9003035, 16554481, 14645471, 15663482
14810	14811	MINT, IntAct, DIP, Biogrid	2	2	9	10862698, 16635246, 19243221, 9003035, 16554481, 14645471, 15663482, 17018287, 30284099
14810	12558	MINT, IntAct, Biogrid	2	2	3	10862698, 16635246, 17589506
14810	12313	MINT, IntAct, Biogrid	2	2	3	10862698, 16635246, 15663482
14812	11472	MINT, IntAct, Biogrid	2	2	3	10862698, 16635246, 16710293
