"","GeneNameA","GeneNameB"
"10328","Ppp3cb","Btk"
"10331","Lox","Btk"
"10334","Aldoa","Btk"
"10343","Smarce1","Btk"
"10346","Tuba1a","Btk"
"10349","H2az1","Btk"
"10355","Ap3b1","Btk"
"10364","Inpp5d","Btk"
"10373","Cd40","Btk"
"10376","Kcmf1","Btk"
"10388","Rpl7","Btk"
"10403","Ppm1g","Btk"
"10406","Luc7l3","Btk"
"10412","Irak1","Btrc"
"10415","Pkd2","Btrc"
"10418","Tpx2","Btrc"
"10421","Map3k5","Btrc"
"10424","Wwtr1","Btrc"
"10427","Gsk3b","Btrc"
"10433","Tnfaip8l2","Btrc"
"10436","Mpeg1","Btrc"
"10439","Bhlhe41","Btrc"
"10448","Gadd45a","Btrc"
"10460","Nfe2l2","Btrc"
"10463","Ikbkb","Btrc"
"10466","Gli2","Btrc"
"10469","Csnk1e","Btrc"
"10481","Reg1","Btrc"
"10484","Cops2","Btrc"
"10520","Nkx3-2","Btrc"
"10541","Creb3l4","Bub1"
"10542","Cdc20","Bub1b"
"10544","Lmo2","Bub1b"
"10548","Bub1b","Bub1b"
"10550","Hdac11","Bub1b"
"10560","Foxl2","Tspo"
"10563","Ewsr1","Ciita"
"10565","Tcf3","Ciita"
"10569","Rfxank","Ciita"
"10571","Cited4","Ciita"
"10573","Nfe2","Ciita"
"10575","Ssbp3","Ciita"
"10581","Hoxa2","Ciita"
"10585","Gmeb1","Ciita"
"10595","Itgb2","C3"
"10599","Hc","C5ar1"
"10600","Lmo2","Hyou1"
"10605","Dmxl2","Cacna1b"
"10611","Dynlt1a","Cacna1c"
"10613","Adrb2","Cacna1c"
"10615","Cav3","Cacna1c"
"10621","Dynlt1b","Cacna1c"
"10623","Dynlt1c","Cacna1c"
"10625","Dynlt1f","Cacna1c"
"10627","Il16","Cacna1c"
"10633","Cacna1b","Cacnb1"
"10635","Cacna1a","Cacnb1"
"10639","Bin1","Cacnb1"
"10643","Mtm1","Cacnb1"
"10649","Cacna1a","Cacnb2"
"10650","Cacna1b","Cacnb2"
"10653","Cacna1c","Cacnb3"
"10655","Cacna1b","Cacnb3"
"10659","Cacna1a","Cacnb3"
"10667","Cacna1b","Cacnb4"
"10671","Cacna1a","Cacnb4"
"10677","Dlg4","Cacng2"
"10681","Ndn","Cacybp"
"10684","S100a6","Cacybp"
"10687","Mlf1","Cacybp"
"10702","Itga2b","Pdia4"
"10704","Hspa5","Pdia4"
"10710","Fbxo32","Anxa2"
"10722","Dysf","Anxa2"
"10726","Prkce","Anxa2"
"10730","S100a10","Anxa2"
"10734","Ppp1r9b","Anxa2"
"10746","Hltf","Anxa2"
"10759","Kcnma1","Calb2"
"10763","Grin1","Calm1"
"10767","Ryr2","Calm1"
"10771","Gap43","Calm1"
"10775","Myo5a","Calm1"
"10779","Grin2b","Calm1"
"10795","Grm5","Calm1"
"10799","Tcp1","Calm1"
"10803","Kcnma1","Calm1"
"10819","Cep97","Calm1"
"10851","Fbxl2","Calm1"
"10863","Ccne1","Calm1"
"10871","Adcy8","Calm1"
"10875","Ccp110","Calm1"
"10887","Myo5a","Calm2"
"10890","Cep97","Calm2"
"10899","Kcnma1","Calm2"
"10905","Ccp110","Calm2"
"10908","Rgs14","Calm2"
"10919","Myo5a","Calm3"
"10921","Cep97","Calm3"
"10923","Kcnma1","Calm3"
"10929","Ccp110","Calm3"
"10936","Kcnma1","Calr"
"10942","Ncstn","Calr"
"10945","Psmc5","Calr"
"10948","Gabarap","Calr"
"10954","Lipc","Calr"
"10960","App","Calr"
"10978","Mep1a","Calr"
"10990","Grin1","Camk2a"
"10993","Abi1","Camk2a"
"10999","Actn2","Camk2a"
"11002","Bag6","Camk2a"
"11005","Ptprr","Camk2a"
"11008","Ppp1r9b","Camk2a"
"11011","Patj","Camk2a"
"11017","Paip1","Camk2a"
"11023","Pdcd6ip","Camk2a"
"11032","Calm1","Camk2a"
"11035","Camk2b","Camk2a"
"11038","Rgs14","Camk2a"
"11044","Tnk2","Camk2a"
"11047","Chrm4","Camk2a"
"11050","Cpsf6","Camk2a"
"11053","Iqgap1","Camk2a"
"11056","Grin2b","Camk2a"
"11068","Caml","Camk2a"
"11083","Dlg4","Camk2a"
"11095","Ifit3","Camk2a"
"11116","Gpbp1","Camk2a"
"11134","Patj","Camk2b"
"11137","Grin2b","Camk2b"
"11140","Dlg4","Camk2b"
"11146","Ptprr","Camk2b"
"11149","Ppp1r9b","Camk2b"
"11155","Grin1","Camk2b"
"11158","Flii","Camk2b"
"11194","Fam241b","Caml"
"11195","Tnfrsf1a","Canx"
"11199","Ptpn1","Canx"
"11207","Rer1","Canx"
"11215","Canx","Canx"
"11219","Bax","Canx"
"11223","Ubc","Canx"
"11227","Apmap","Canx"
"11231","Itga2b","Canx"
"11243","Lipc","Canx"
"11247","Sgip1","Canx"
"11251","Hmox1","Canx"
"11259","Tyr","Canx"
"11271","Mep1a","Canx"
"11299","Itga2b","Cap1"
"11304","Amph","Capn2"
"11306","Parvb","Capn3"
"11309","Dlg4","Capza2"
"11312","Rcsd1","Capza2"
"11315","Capzb","Capza2"
"11330","Lmo2","Capza2"
"11339","Coro1a","Capzb"
"11340","Bag3","Capzb"
"11342","Itga2b","Car2"
"11344","Kcnma1","Car2"
"11350","Fbxo32","Car3"
"11360","Rxrg","Nr1i3"
"11364","Itga2b","Cat"
"11368","Uox","Cat"
