"","GeneNameA","GeneNameB"
"851","Ift27","Ap3d1"
"852","Rab37","Ap3d1"
"853","Pi4kb","Ap3d1"
"854","Eed","Ap3d1"
"855","Stat4","Ap3d1"
"856","Hmga2","Ap3s1"
"857","Xpo7","Ap3s1"
"858","Pi4kb","Ap3s1"
"859","Dld","Ap3s1"
"860","Foxp3","Ap3s1"
"861","Pi4kb","Ap3s2"
"862","Cacng3","Ap4m1"
"863","Gria2","Ap4m1"
"864","Gria1","Ap4m1"
"865","Ppp1ca","Apaf1"
"866","Apaf1","Apaf1"
"867","Cask","Apba2"
"868","Stx12","Apba2"
"869","Necab3","Apba2"
"870","Rab11a","Apba2"
"871","App","Apba2"
"872","Enah","Apbb1"
"873","Aplp1","Apbb1"
"874","Lrp2","Apbb1"
"875","App","Apbb1"
"876","Aplp2","Apbb1"
"877","Prnp","Apbb1"
"878","Trp53","Apbb1"
"879","Apbb2","Apbb2"
"880","Mapk8","Apbb2"
"881","App","Apbb2"
"882","Ctnna1","Apc"
"883","Ctnnb1","Apc"
"884","Ryr2","Speg"
"885","Fancd2","Speg"
"886","Cacna1c","Speg"
"887","Aicda","Apex1"
"888","Hmga2","Apex1"
"889","Hdac1","Apex1"
"890","Pcna","Apex1"
"891","Sin3a","Apex1"
"892","Ywhae","Apex1"
"893","Hdac2","Apex1"
"894","Eed","Apex1"
"895","Ywhae","Atg5"
"896","Atg5","Atg5"
"897","Atg16l1","Atg5"
"898","Fadd","Atg5"
"899","Casp8","Atg5"
"900","Rab33b","Atg5"
